# This file was produced by: bcftools roh(1.15.1+htslib-1.15.1)
# The command line was:	bcftools roh -G30 --estimate-AF - --rec-rate 1e-9 --skip-indels -O r -o /projects/mjolnir1/people/qvw641/CottonTop/ROHs///BcfToolsRoh_alt04recomb_1e-9_final_AF.txt /projects/mjolnir1/people/qvw641/CottonTop/VCF/Filter/CTT_onlyCTT_filter.vcf.gz
#
# RG	[2]Sample	[3]Chromosome	[4]Start	[5]End	[6]Length (bp)	[7]Number of markers	[8]Quality (average fwd-bwd phred score)
RG	19_FMNH_69277	CM038392.1	165716340	167010410	1294071	1702	96.1
RG	19_FMNH_69277	CM038392.1	168549252	168719516	170265	266	24.7
RG	19_FMNH_69277	CM038392.1	169372304	169580279	207976	587	55.2
RG	19_FMNH_69277	CM038392.1	170015789	170372671	356883	719	75.7
RG	19_FMNH_69277	CM038392.1	170796781	171358099	561319	1239	84.7
RG	19_FMNH_69277	CM038392.1	171867671	171999883	132213	392	62.4
RG	19_FMNH_69277	CM038392.1	172432334	172653013	220680	372	84.5
RG	19_FMNH_69277	CM038392.1	172804164	173334470	530307	772	85.7
RG	19_FMNH_69277	CM038392.1	175207818	175471553	263736	349	82.3
RG	19_FMNH_69277	CM038392.1	175575314	175642239	66926	137	30.1
RG	19_FMNH_69277	CM038392.1	176029934	176212038	182105	349	41.2
RG	19_FMNH_69277	CM038392.1	179892370	180167354	274985	506	61.9
RG	19_FMNH_69277	CM038392.1	182760610	183011867	251258	603	76.1
RG	19_FMNH_69277	CM038392.1	183649209	184510959	861751	1760	91.0
RG	19_FMNH_69277	CM038392.1	184767979	185255218	487240	1456	95.7
RG	19_FMNH_69277	CM038392.1	185943750	186083543	139794	454	64.3
RG	19_FMNH_69277	CM038392.1	186744659	187217853	473195	1254	84.9
RG	19_FMNH_69277	CM038392.1	187794738	188104805	310068	859	62.1
RG	19_FMNH_69277	CM038392.1	192550418	193085678	535261	1160	82.9
RG	19_FMNH_69277	CM038392.1	193279715	193478562	198848	530	40.5
RG	19_FMNH_69277	CM038392.1	194749614	194884507	134894	270	49.3
RG	19_FMNH_69277	CM038392.1	196045503	196501622	456120	819	69.7
RG	19_FMNH_69277	CM038392.1	196576002	197579031	1003030	1438	75.6
RG	19_FMNH_69277	CM038392.1	198494590	199061922	567333	1138	81.0
RG	19_FMNH_69277	CM038392.1	199561184	199719492	158309	357	65.9
RG	19_FMNH_69277	CM038392.1	202916040	203086528	170489	485	77.7
RG	19_FMNH_69277	CM038392.1	206242369	206462729	220361	461	65.6
RG	19_FMNH_69277	CM038392.1	206465444	206508823	43380	115	64.4
RG	19_FMNH_69277	CM038392.1	210179759	210727035	547277	1191	79.8
RG	20_FMNH_69278	CM038392.1	364078	998935	634858	1011	78.4
RG	20_FMNH_69278	CM038392.1	1486547	2260515	773969	1008	86.9
RG	20_FMNH_69278	CM038392.1	2886998	3001022	114025	239	39.7
RG	20_FMNH_69278	CM038392.1	5061042	5979665	918624	1522	49.4
RG	20_FMNH_69278	CM038392.1	6352659	7442953	1090295	1359	80.3
RG	20_FMNH_69278	CM038392.1	7784782	7966958	182177	372	17.3
RG	20_FMNH_69278	CM038392.1	8770890	9606275	835386	992	75.1
RG	20_FMNH_69278	CM038392.1	11723887	13092109	1368223	1900	88.4
RG	20_FMNH_69278	CM038392.1	13267833	14614588	1346756	1650	81.8
RG	20_FMNH_69278	CM038392.1	14767569	16832966	2065398	2153	86.5
RG	20_FMNH_69278	CM038392.1	17357254	19669150	2311897	2526	67.3
RG	20_FMNH_69278	CM038392.1	20431761	20608648	176888	328	63.8
RG	20_FMNH_69278	CM038392.1	20848110	28433110	7585001	11489	94.4
RG	20_FMNH_69278	CM038392.1	28445178	30392966	1947789	2595	89.5
RG	20_FMNH_69278	CM038392.1	30679125	30923312	244188	336	62.3
RG	20_FMNH_69278	CM038392.1	32198134	32699218	501085	616	56.3
RG	20_FMNH_69278	CM038392.1	33403841	34167566	763726	1138	63.0
RG	20_FMNH_69278	CM038392.1	37218916	37991940	773025	1196	13.9
RG	20_FMNH_69278	CM038392.1	38430492	38740717	310226	491	29.8
RG	20_FMNH_69278	CM038392.1	38846830	39877311	1030482	1305	74.4
RG	20_FMNH_69278	CM038392.1	41900438	41974675	74238	100	26.5
RG	20_FMNH_69278	CM038392.1	42526154	43201810	675657	660	77.7
RG	20_FMNH_69278	CM038392.1	43790992	44295798	504807	664	75.6
RG	20_FMNH_69278	CM038392.1	46256307	46779473	523167	788	76.9
RG	20_FMNH_69278	CM038392.1	47420590	48380760	960171	1452	82.6
RG	20_FMNH_69278	CM038392.1	50219955	52273624	2053670	2404	92.2
RG	20_FMNH_69278	CM038392.1	53427761	53813205	385445	617	71.6
RG	20_FMNH_69278	CM038392.1	57839585	59567463	1727879	2353	92.6
RG	20_FMNH_69278	CM038392.1	60312455	65508007	5195553	6074	68.6
RG	20_FMNH_69278	CM038392.1	66521069	67723812	1202744	1470	69.9
RG	20_FMNH_69278	CM038392.1	67753936	68589423	835488	1079	57.9
RG	20_FMNH_69278	CM038392.1	69211801	70013373	801573	889	71.8
RG	20_FMNH_69278	CM038392.1	70383872	71625529	1241658	1675	88.1
RG	20_FMNH_69278	CM038392.1	71784582	74571383	2786802	3083	76.0
RG	20_FMNH_69278	CM038392.1	77200846	81501572	4300727	5843	88.9
RG	20_FMNH_69278	CM038392.1	82695763	84209754	1513992	1530	65.0
RG	20_FMNH_69278	CM038392.1	84495831	85183600	687770	671	46.9
RG	20_FMNH_69278	CM038392.1	85620032	85810452	190421	175	62.1
RG	20_FMNH_69278	CM038392.1	86259328	86733873	474546	399	20.4
RG	20_FMNH_69278	CM038392.1	87504347	89899315	2394969	3328	91.4
RG	20_FMNH_69278	CM038392.1	90122776	90825826	703051	952	70.7
RG	20_FMNH_69278	CM038392.1	91074158	93586610	2512453	2682	58.6
RG	20_FMNH_69278	CM038392.1	94628318	94847205	218888	226	22.9
RG	20_FMNH_69278	CM038392.1	95565707	96015149	449443	561	72.9
RG	20_FMNH_69278	CM038392.1	96644895	97008668	363774	451	71.3
RG	20_FMNH_69278	CM038392.1	97382036	97911240	529205	541	24.2
RG	20_FMNH_69278	CM038392.1	100900664	101849720	949057	915	68.9
RG	20_FMNH_69278	CM038392.1	103526163	103925723	399561	392	67.3
RG	20_FMNH_69278	CM038392.1	105874193	106698784	824592	589	52.2
RG	20_FMNH_69278	CM038392.1	106847534	107110773	263240	185	70.4
RG	20_FMNH_69278	CM038392.1	107508391	108790294	1281904	1086	83.5
RG	20_FMNH_69278	CM038392.1	109954537	110349978	395442	347	65.0
RG	20_FMNH_69278	CM038392.1	110745533	113241912	2496380	2739	96.7
RG	20_FMNH_69278	CM038392.1	113524969	113718519	193551	333	75.0
RG	20_FMNH_69278	CM038392.1	114587367	115793349	1205983	1182	86.4
RG	20_FMNH_69278	CM038392.1	115991083	116781551	790469	926	83.0
RG	20_FMNH_69278	CM038392.1	117863615	120170009	2306395	2527	69.2
RG	20_FMNH_69278	CM038392.1	120966206	123230275	2264070	1134	68.2
RG	20_FMNH_69278	CM038392.1	123435973	125315368	1879396	1539	69.8
RG	20_FMNH_69278	CM038392.1	128393036	128950166	557131	457	20.0
RG	20_FMNH_69278	CM038392.1	129105254	129589231	483978	556	33.6
RG	20_FMNH_69278	CM038392.1	131324693	132600160	1275468	1099	58.2
RG	20_FMNH_69278	CM038392.1	133174461	134682169	1507709	1491	39.3
RG	20_FMNH_69278	CM038392.1	134880111	135824794	944684	1001	93.2
RG	20_FMNH_69278	CM038392.1	136153830	136578083	424254	491	57.7
RG	20_FMNH_69278	CM038392.1	137110934	137566115	455182	375	76.1
RG	20_FMNH_69278	CM038392.1	141128931	141571161	442231	415	76.0
RG	20_FMNH_69278	CM038392.1	142686173	145020531	2334359	2469	75.1
RG	20_FMNH_69278	CM038392.1	145558902	146042068	483167	598	67.3
RG	20_FMNH_69278	CM038392.1	148224666	150585445	2360780	1930	97.9
RG	20_FMNH_69278	CM038392.1	150990246	151486690	496445	507	58.0
RG	20_FMNH_69278	CM038392.1	154776837	156127048	1350212	1335	86.7
RG	20_FMNH_69278	CM038392.1	156882876	157319757	436882	360	69.4
RG	20_FMNH_69278	CM038392.1	158201414	158345038	143625	143	64.9
RG	20_FMNH_69278	CM038392.1	158601876	159800138	1198263	1207	82.2
RG	20_FMNH_69278	CM038392.1	159987177	160265102	277926	250	40.6
RG	20_FMNH_69278	CM038392.1	161381012	161599569	218558	188	59.3
RG	20_FMNH_69278	CM038392.1	162458014	163959896	1501883	1872	87.1
RG	20_FMNH_69278	CM038392.1	164300619	165872112	1571494	1416	45.8
RG	20_FMNH_69278	CM038392.1	166449688	167152494	702807	587	79.0
RG	20_FMNH_69278	CM038392.1	169521364	171169073	1647710	2324	86.7
RG	20_FMNH_69278	CM038392.1	172406570	176471142	4064573	4254	76.6
RG	20_FMNH_69278	CM038392.1	176932643	177317113	384471	295	58.3
RG	20_FMNH_69278	CM038392.1	181325503	181889667	564165	851	63.0
RG	20_FMNH_69278	CM038392.1	182610009	182673874	63866	136	54.3
RG	20_FMNH_69278	CM038392.1	183227093	185338667	2111575	3289	83.7
RG	20_FMNH_69278	CM038392.1	185861342	186987418	1126077	1829	63.3
RG	20_FMNH_69278	CM038392.1	192418328	193027303	608976	845	53.4
RG	20_FMNH_69278	CM038392.1	197166767	198155262	988496	961	55.4
RG	20_FMNH_69278	CM038392.1	198500708	198893128	392421	482	73.1
RG	20_FMNH_69278	CM038392.1	199515604	200105578	589975	689	42.9
RG	20_FMNH_69278	CM038392.1	200865442	201595961	730520	899	54.3
RG	20_FMNH_69278	CM038392.1	202925030	203121336	196307	381	44.2
RG	20_FMNH_69278	CM038392.1	203921661	205264825	1343165	1877	65.6
RG	20_FMNH_69278	CM038392.1	207179011	208187258	1008248	1504	52.8
RG	20_FMNH_69278	CM038392.1	208842100	209082054	239955	602	14.6
RG	20_FMNH_69278	CM038392.1	209234708	210224679	989972	1385	80.8
RG	21_FMNH_69280	CM038392.1	40397	1128243	1087847	1378	93.1
RG	21_FMNH_69280	CM038392.1	1782002	2592437	810436	907	55.8
RG	21_FMNH_69280	CM038392.1	2795906	2861981	66076	131	10.7
RG	21_FMNH_69280	CM038392.1	3668064	3862586	194523	287	22.4
RG	21_FMNH_69280	CM038392.1	6464396	7544593	1080198	1419	77.0
RG	21_FMNH_69280	CM038392.1	7811794	9706009	1894216	2334	71.5
RG	21_FMNH_69280	CM038392.1	11547288	11887764	340477	496	63.5
RG	21_FMNH_69280	CM038392.1	12317584	14304211	1986628	2566	63.9
RG	21_FMNH_69280	CM038392.1	15402907	16506693	1103787	1289	84.5
RG	21_FMNH_69280	CM038392.1	17939303	20201831	2262529	2498	82.5
RG	21_FMNH_69280	CM038392.1	22220550	23306695	1086146	1721	71.6
RG	21_FMNH_69280	CM038392.1	23324295	23604147	279853	500	85.5
RG	21_FMNH_69280	CM038392.1	24448525	28412921	3964397	5404	65.0
RG	21_FMNH_69280	CM038392.1	28452085	30923876	2471792	3017	63.1
RG	21_FMNH_69280	CM038392.1	32011173	33271358	1260186	1966	86.4
RG	21_FMNH_69280	CM038392.1	33398287	36064775	2666489	4022	88.0
RG	21_FMNH_69280	CM038392.1	39062771	40771494	1708724	2130	72.6
RG	21_FMNH_69280	CM038392.1	42900915	44437117	1536203	1779	64.3
RG	21_FMNH_69280	CM038392.1	44979466	45348824	369359	611	76.7
RG	21_FMNH_69280	CM038392.1	45810239	47421440	1611202	2383	87.6
RG	21_FMNH_69280	CM038392.1	48542646	49686657	1144012	917	32.4
RG	21_FMNH_69280	CM038392.1	53078484	53769186	690703	788	79.1
RG	21_FMNH_69280	CM038392.1	54332037	54690268	358232	442	21.9
RG	21_FMNH_69280	CM038392.1	54907033	57913133	3006101	3515	89.5
RG	21_FMNH_69280	CM038392.1	58832083	59326751	494669	647	59.9
RG	21_FMNH_69280	CM038392.1	59713050	61559732	1846683	1474	79.9
RG	21_FMNH_69280	CM038392.1	61714375	66350263	4635889	5583	88.7
RG	21_FMNH_69280	CM038392.1	66653243	72336306	5683064	6972	89.7
RG	21_FMNH_69280	CM038392.1	74275590	75872196	1596607	1764	82.6
RG	21_FMNH_69280	CM038392.1	77407723	78206561	798839	877	66.8
RG	21_FMNH_69280	CM038392.1	79649929	82350278	2700350	3257	90.6
RG	21_FMNH_69280	CM038392.1	83032825	83699771	666947	640	67.4
RG	21_FMNH_69280	CM038392.1	84441629	87575435	3133807	2912	80.3
RG	21_FMNH_69280	CM038392.1	88419377	88869568	450192	602	72.5
RG	21_FMNH_69280	CM038392.1	90291022	93959975	3668954	4038	75.6
RG	21_FMNH_69280	CM038392.1	95067726	95623251	555526	728	52.5
RG	21_FMNH_69280	CM038392.1	96073448	96820048	746601	874	75.6
RG	21_FMNH_69280	CM038392.1	97790336	99905859	2115524	1461	59.6
RG	21_FMNH_69280	CM038392.1	101925529	103257011	1331483	1120	86.2
RG	21_FMNH_69280	CM038392.1	103931075	104663145	732071	527	21.9
RG	21_FMNH_69280	CM038392.1	106147451	108745517	2598067	2220	91.3
RG	21_FMNH_69280	CM038392.1	111715523	113083533	1368011	1184	48.7
RG	21_FMNH_69280	CM038392.1	113850889	113982440	131552	281	29.0
RG	21_FMNH_69280	CM038392.1	114597766	115970164	1372399	1355	86.7
RG	21_FMNH_69280	CM038392.1	116450146	116947279	497134	439	18.1
RG	21_FMNH_69280	CM038392.1	118817002	119362748	545747	513	80.9
RG	21_FMNH_69280	CM038392.1	119683160	123718135	4034976	2649	87.1
RG	21_FMNH_69280	CM038392.1	125354336	127243252	1888917	1381	69.6
RG	21_FMNH_69280	CM038392.1	128202069	128580977	378909	347	61.2
RG	21_FMNH_69280	CM038392.1	129555157	129868488	313332	449	30.9
RG	21_FMNH_69280	CM038392.1	130274074	130759771	485698	447	19.8
RG	21_FMNH_69280	CM038392.1	131881119	132877454	996336	936	78.6
RG	21_FMNH_69280	CM038392.1	133132535	136028716	2896182	2930	81.5
RG	21_FMNH_69280	CM038392.1	136809895	138996027	2186133	1781	92.1
RG	21_FMNH_69280	CM038392.1	141014298	141442506	428209	338	64.2
RG	21_FMNH_69280	CM038392.1	141803109	142346574	543466	772	31.1
RG	21_FMNH_69280	CM038392.1	144301106	144763863	462758	503	61.9
RG	21_FMNH_69280	CM038392.1	144904876	145653749	748874	453	79.5
RG	21_FMNH_69280	CM038392.1	145968579	147884648	1916070	1484	34.2
RG	21_FMNH_69280	CM038392.1	150631786	151806403	1174618	983	68.8
RG	21_FMNH_69280	CM038392.1	152606083	154625715	2019633	2069	83.6
RG	21_FMNH_69280	CM038392.1	156646110	158060446	1414337	1032	67.2
RG	21_FMNH_69280	CM038392.1	158935165	160681408	1746244	1539	58.5
RG	21_FMNH_69280	CM038392.1	162458014	164891364	2433351	2382	47.6
RG	21_FMNH_69280	CM038392.1	167069845	167528142	458298	321	73.4
RG	21_FMNH_69280	CM038392.1	168875074	172007498	3132425	4057	91.7
RG	21_FMNH_69280	CM038392.1	172229406	174373182	2143777	2086	92.8
RG	21_FMNH_69280	CM038392.1	174533996	175832666	1298671	1219	64.1
RG	21_FMNH_69280	CM038392.1	178244737	179669320	1424584	1204	58.6
RG	21_FMNH_69280	CM038392.1	181709202	183615957	1906756	2352	80.2
RG	21_FMNH_69280	CM038392.1	183707572	183919849	212278	347	50.2
RG	21_FMNH_69280	CM038392.1	185053040	187194751	2141712	3146	92.9
RG	21_FMNH_69280	CM038392.1	188004027	188375868	371842	436	60.7
RG	21_FMNH_69280	CM038392.1	194068742	194172885	104144	161	55.2
RG	21_FMNH_69280	CM038392.1	194825582	196565936	1740355	2259	82.5
RG	21_FMNH_69280	CM038392.1	197889782	198336205	446424	509	79.2
RG	21_FMNH_69280	CM038392.1	200249929	201292276	1042348	1054	48.7
RG	21_FMNH_69280	CM038392.1	201996940	203280301	1283362	2011	58.9
RG	21_FMNH_69280	CM038392.1	203530559	204485836	955278	1314	67.0
RG	21_FMNH_69280	CM038392.1	204543681	205292293	748613	1096	75.2
RG	21_FMNH_69280	CM038392.1	206625725	207107727	482003	651	32.7
RG	21_FMNH_69280	CM038392.1	207783625	208063728	280104	330	33.0
RG	21_FMNH_69280	CM038392.1	209234708	211419226	2184519	3134	86.3
RG	23_FMNH_69284	CM038392.1	40397	3276699	3236303	4925	96.4
RG	23_FMNH_69284	CM038392.1	3347539	3812859	465321	925	92.3
RG	23_FMNH_69284	CM038392.1	4004743	10467579	6462837	10438	96.8
RG	23_FMNH_69284	CM038392.1	10469414	11531629	1062216	1433	91.6
RG	23_FMNH_69284	CM038392.1	11546381	14614588	3068208	4948	93.3
RG	23_FMNH_69284	CM038392.1	14772324	21590298	6817975	9779	94.3
RG	23_FMNH_69284	CM038392.1	21689545	23258160	1568616	2729	91.2
RG	23_FMNH_69284	CM038392.1	23324295	28433110	5108816	8397	97.5
RG	23_FMNH_69284	CM038392.1	28445178	33312751	4867574	7390	96.9
RG	23_FMNH_69284	CM038392.1	33412790	38146555	4733766	8839	97.7
RG	23_FMNH_69284	CM038392.1	38187586	38736737	549152	1249	82.8
RG	23_FMNH_69284	CM038392.1	38754724	41036118	2281395	4154	83.2
RG	23_FMNH_69284	CM038392.1	41777443	45640657	3863215	5480	92.7
RG	23_FMNH_69284	CM038392.1	45779392	47724883	1945492	3542	94.9
RG	23_FMNH_69284	CM038392.1	49299331	50899338	1600008	1278	80.3
RG	23_FMNH_69284	CM038392.1	51998422	52223755	225334	366	54.7
RG	23_FMNH_69284	CM038392.1	52330618	52740132	409515	604	90.2
RG	23_FMNH_69284	CM038392.1	52881172	53538533	657362	788	69.1
RG	23_FMNH_69284	CM038392.1	54257538	54438163	180626	272	75.1
RG	23_FMNH_69284	CM038392.1	56978994	57910776	931783	1435	89.8
RG	23_FMNH_69284	CM038392.1	59327713	59561780	234068	317	17.8
RG	23_FMNH_69284	CM038392.1	60019535	61819142	1799608	1506	59.6
RG	23_FMNH_69284	CM038392.1	64516315	66057127	1540813	1897	87.5
RG	23_FMNH_69284	CM038392.1	67875546	69974259	2098714	2607	54.8
RG	23_FMNH_69284	CM038392.1	71861786	84334809	12473024	15488	98.1
RG	23_FMNH_69284	CM038392.1	84443263	86771448	2328186	2060	85.6
RG	23_FMNH_69284	CM038392.1	86816180	96025084	9208905	11911	98.0
RG	23_FMNH_69284	CM038392.1	96108524	97214924	1106401	1278	84.0
RG	23_FMNH_69284	CM038392.1	97374133	104545294	7171162	6442	98.1
RG	23_FMNH_69284	CM038392.1	107415615	107595740	180126	340	50.9
RG	23_FMNH_69284	CM038392.1	107859245	108304342	445098	355	82.0
RG	23_FMNH_69284	CM038392.1	109326923	109889931	563009	522	74.3
RG	23_FMNH_69284	CM038392.1	111483878	111747234	263357	375	83.2
RG	23_FMNH_69284	CM038392.1	113856671	113978381	121711	318	80.1
RG	23_FMNH_69284	CM038392.1	117786767	118168019	381253	691	25.9
RG	23_FMNH_69284	CM038392.1	118553462	118745728	192267	239	20.0
RG	23_FMNH_69284	CM038392.1	119884712	120281548	396837	687	70.1
RG	23_FMNH_69284	CM038392.1	121121025	125114546	3993522	2591	87.4
RG	23_FMNH_69284	CM038392.1	125356407	126329076	972670	887	82.3
RG	23_FMNH_69284	CM038392.1	127095267	127942798	847532	616	83.0
RG	23_FMNH_69284	CM038392.1	129834158	130041022	206865	308	59.8
RG	23_FMNH_69284	CM038392.1	132966021	133040560	74540	111	56.7
RG	23_FMNH_69284	CM038392.1	134711012	137057556	2346545	2497	96.2
RG	23_FMNH_69284	CM038392.1	139099993	139589522	489530	342	64.6
RG	23_FMNH_69284	CM038392.1	140058246	141534931	1476686	1639	68.1
RG	23_FMNH_69284	CM038392.1	142637346	143316464	679119	737	24.9
RG	23_FMNH_69284	CM038392.1	145618761	146033360	414600	585	23.5
RG	23_FMNH_69284	CM038392.1	148430660	149730513	1299854	1140	79.9
RG	23_FMNH_69284	CM038392.1	150325826	151945408	1619583	1640	96.1
RG	23_FMNH_69284	CM038392.1	152298103	152753648	455546	548	74.2
RG	23_FMNH_69284	CM038392.1	154593985	157038322	2444338	1964	93.0
RG	23_FMNH_69284	CM038392.1	157062713	157735175	672463	627	57.4
RG	23_FMNH_69284	CM038392.1	159544281	159850330	306050	364	70.6
RG	23_FMNH_69284	CM038392.1	160308728	160790600	481873	484	78.2
RG	23_FMNH_69284	CM038392.1	161202878	162430086	1227209	841	79.5
RG	23_FMNH_69284	CM038392.1	162547060	168720186	6173127	6243	97.4
RG	23_FMNH_69284	CM038392.1	168738559	169359029	620471	796	86.6
RG	23_FMNH_69284	CM038392.1	169386734	171113649	1726916	2807	93.3
RG	23_FMNH_69284	CM038392.1	171351428	171500668	149241	291	55.1
RG	23_FMNH_69284	CM038392.1	173094885	174322433	1227549	1366	86.5
RG	23_FMNH_69284	CM038392.1	177134334	178050140	915807	1251	90.3
RG	23_FMNH_69284	CM038392.1	179729199	179820895	91697	132	9.4
RG	23_FMNH_69284	CM038392.1	181051220	181236480	185261	281	54.4
RG	23_FMNH_69284	CM038392.1	181334752	181755266	420515	834	44.4
RG	23_FMNH_69284	CM038392.1	182882021	183011867	129847	202	80.5
RG	23_FMNH_69284	CM038392.1	183463172	183933628	470457	786	82.9
RG	23_FMNH_69284	CM038392.1	185041789	185166387	124599	195	30.4
RG	23_FMNH_69284	CM038392.1	185913918	186086115	172198	468	66.7
RG	23_FMNH_69284	CM038392.1	186285223	186456675	171453	210	83.5
RG	23_FMNH_69284	CM038392.1	187775660	188003227	227568	644	79.7
RG	23_FMNH_69284	CM038392.1	190737544	191656552	919009	1419	83.9
RG	23_FMNH_69284	CM038392.1	191921778	193259438	1337661	2684	95.3
RG	23_FMNH_69284	CM038392.1	193279167	193453375	174209	443	44.0
RG	23_FMNH_69284	CM038392.1	198043277	198334818	291542	452	77.7
RG	23_FMNH_69284	CM038392.1	198834983	199079618	244636	403	67.8
RG	23_FMNH_69284	CM038392.1	199549695	199719492	169798	319	62.0
RG	23_FMNH_69284	CM038392.1	203110067	203158406	48340	124	29.6
RG	23_FMNH_69284	CM038392.1	203514971	204433949	918979	1731	89.3
RG	23_FMNH_69284	CM038392.1	204538938	205806590	1267653	2245	83.2
RG	23_FMNH_69284	CM038392.1	206233202	206462729	229528	409	71.5
RG	23_FMNH_69284	CM038392.1	206465601	208187258	1721658	3147	85.4
RG	23_FMNH_69284	CM038392.1	208462258	211419371	2957114	5920	95.1
RG	24_FMNH_69286	CM038392.1	49341	928390	879050	2090	90.2
RG	24_FMNH_69286	CM038392.1	1270226	1466119	195894	640	79.4
RG	24_FMNH_69286	CM038392.1	2080549	2541925	461377	884	88.3
RG	24_FMNH_69286	CM038392.1	2785743	2866615	80873	266	69.9
RG	24_FMNH_69286	CM038392.1	2906260	3264143	357884	907	92.5
RG	24_FMNH_69286	CM038392.1	3340350	3548269	207920	529	90.8
RG	24_FMNH_69286	CM038392.1	3599885	3855806	255922	675	87.8
RG	24_FMNH_69286	CM038392.1	3880330	3949881	69552	239	80.1
RG	24_FMNH_69286	CM038392.1	4004743	4757462	752720	2083	83.6
RG	24_FMNH_69286	CM038392.1	4810486	10467579	5657094	14210	92.7
RG	24_FMNH_69286	CM038392.1	11709529	12123575	414047	1268	91.1
RG	24_FMNH_69286	CM038392.1	12226013	14619553	2393541	5336	94.8
RG	24_FMNH_69286	CM038392.1	14781739	16282191	1500453	3056	95.4
RG	24_FMNH_69286	CM038392.1	17268098	17890241	622144	1218	31.3
RG	24_FMNH_69286	CM038392.1	18357514	19981553	1624040	3760	62.7
RG	24_FMNH_69286	CM038392.1	20088346	20335957	247612	636	74.7
RG	24_FMNH_69286	CM038392.1	20389726	20607852	218127	616	64.6
RG	24_FMNH_69286	CM038392.1	23367310	23428350	61041	201	34.5
RG	24_FMNH_69286	CM038392.1	23625691	23796176	170486	577	66.2
RG	24_FMNH_69286	CM038392.1	24463075	24608653	145579	465	88.5
RG	24_FMNH_69286	CM038392.1	25501618	25645085	143468	365	36.1
RG	24_FMNH_69286	CM038392.1	25776607	26220027	443421	1217	70.2
RG	24_FMNH_69286	CM038392.1	26329333	26427104	97772	259	21.2
RG	24_FMNH_69286	CM038392.1	26508160	26606105	97946	228	16.5
RG	24_FMNH_69286	CM038392.1	27210246	27430035	219790	825	78.8
RG	24_FMNH_69286	CM038392.1	27716591	28242369	525779	1487	45.6
RG	24_FMNH_69286	CM038392.1	28695587	29015811	320225	755	78.4
RG	24_FMNH_69286	CM038392.1	29024326	29313546	289221	782	90.1
RG	24_FMNH_69286	CM038392.1	29674515	29885150	210636	558	78.5
RG	24_FMNH_69286	CM038392.1	30902665	31215046	312382	707	71.4
RG	24_FMNH_69286	CM038392.1	34233160	34362842	129683	358	20.7
RG	24_FMNH_69286	CM038392.1	35601849	35950712	348864	989	79.1
RG	24_FMNH_69286	CM038392.1	36233317	36317113	83797	290	52.6
RG	24_FMNH_69286	CM038392.1	43165007	43735487	570481	1421	65.7
RG	24_FMNH_69286	CM038392.1	45838014	46140671	302658	968	61.9
RG	24_FMNH_69286	CM038392.1	46404357	46503266	98910	327	65.9
RG	24_FMNH_69286	CM038392.1	50404003	50961841	557839	1292	86.8
RG	24_FMNH_69286	CM038392.1	53582423	53760452	178030	590	67.1
RG	24_FMNH_69286	CM038392.1	54004717	54273103	268387	691	92.1
RG	24_FMNH_69286	CM038392.1	58844197	59291351	447155	1062	41.1
RG	24_FMNH_69286	CM038392.1	59755881	59887574	131694	402	75.9
RG	24_FMNH_69286	CM038392.1	60822935	61194806	371872	443	68.1
RG	24_FMNH_69286	CM038392.1	61819142	62294710	475569	1474	83.5
RG	24_FMNH_69286	CM038392.1	63854576	63972798	118223	238	45.8
RG	24_FMNH_69286	CM038392.1	64112903	64400000	287098	1043	77.4
RG	24_FMNH_69286	CM038392.1	64557261	64984341	427081	1246	94.2
RG	24_FMNH_69286	CM038392.1	65465419	65787398	321980	755	68.8
RG	24_FMNH_69286	CM038392.1	67767416	68444482	677067	1583	91.6
RG	24_FMNH_69286	CM038392.1	70613297	70682118	68822	191	35.7
RG	24_FMNH_69286	CM038392.1	73505187	73883269	378083	839	90.0
RG	24_FMNH_69286	CM038392.1	78344035	79648269	1304235	3276	91.9
RG	24_FMNH_69286	CM038392.1	80016024	80182899	166876	423	85.0
RG	24_FMNH_69286	CM038392.1	80575746	81104537	528792	1561	85.5
RG	24_FMNH_69286	CM038392.1	83656368	84420354	763987	1874	80.6
RG	24_FMNH_69286	CM038392.1	84441393	84494411	53019	174	61.7
RG	24_FMNH_69286	CM038392.1	85153336	85443763	290428	712	51.3
RG	24_FMNH_69286	CM038392.1	88427312	88826267	398956	1061	72.7
RG	24_FMNH_69286	CM038392.1	89311920	89508036	196117	437	57.3
RG	24_FMNH_69286	CM038392.1	91537598	91877376	339779	742	37.5
RG	24_FMNH_69286	CM038392.1	92867216	93285564	418349	866	65.5
RG	24_FMNH_69286	CM038392.1	93951338	94346286	394949	981	83.9
RG	24_FMNH_69286	CM038392.1	94843040	95001836	158797	372	57.9
RG	24_FMNH_69286	CM038392.1	95277723	95514411	236689	610	38.6
RG	24_FMNH_69286	CM038392.1	96340898	96436153	95256	270	82.1
RG	24_FMNH_69286	CM038392.1	96753011	97027907	274897	649	83.9
RG	24_FMNH_69286	CM038392.1	97882826	98413184	530359	1037	72.1
RG	24_FMNH_69286	CM038392.1	100640854	100768658	127805	319	77.9
RG	24_FMNH_69286	CM038392.1	102895221	103059783	164563	195	42.2
RG	24_FMNH_69286	CM038392.1	105518420	105728706	210287	366	73.4
RG	24_FMNH_69286	CM038392.1	106146199	106971115	824917	948	88.1
RG	24_FMNH_69286	CM038392.1	107034497	107612083	577587	1692	88.6
RG	24_FMNH_69286	CM038392.1	107664888	107831716	166829	267	16.5
